Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
,,,,,,,9078,9078,00:57:14,40.34,7.4,7.97,5.33,17533.79,21.87,8635,26904
,,,,,,,4325,4325,00:55:03,39.64,7.3,8.21,5.14,8406.04,20.28,4310,13452
42,Eastbound,Early AM,E02,9101,[00:51] 7068577,WEEKDAY,0,0,,0,0,0,0,0,0,0,114
42,Eastbound,Early AM,E04,9102,[01:34] 7068576,WEEKDAY,0,0,,0,0,0,0,0,0,0,114
42,Eastbound,Early AM,E02,9101,[02:07] 7068575,WEEKDAY,0,0,,0,0,0,0,0,0,0,114
42,Eastbound,Early AM,E04,9102,[02:49] 7068574,WEEKDAY,2,2,00:20:16,5.92,4.94,14.63,0.4,4.55,1.33,3,114
42,Eastbound,Early AM,E02,9101,[03:21] 7068573,WEEKDAY,6,6,00:31:17,11.51,6.81,13.06,0.88,23.58,5.37,54,114
42,Eastbound,Early AM,E04,9102,[03:55] 7068569,WEEKDAY,6,6,00:35:07,10.25,6.08,10.38,0.99,19.5,5.23,66,114
42,Eastbound,Early AM,E01,9103,[04:12] 7068572,WEEKDAY,17,17,00:37:29,27.21,7.97,12.76,2.13,74.71,14.59,32,114
42,Eastbound,Early AM,E03,9104,[04:35] 7068571,WEEKDAY,9,9,00:30:32,17.68,6.47,12.71,1.39,28.1,7.55,29,114
42,Eastbound,Early AM,E01,9101,[04:44] 7068570,WEEKDAY,13,13,00:39:06,19.95,7.82,12,1.66,46.33,10.02,53,114
42,Eastbound,Early AM,E03,9102,[05:05] 7068568,WEEKDAY,18,18,00:37:13,29.01,6.75,10.88,2.67,63.3,16.13,67,114
42,Eastbound,Early AM,E01,9106,[05:16] 7068567,WEEKDAY,24,24,00:41:57,34.32,8.03,11.48,2.99,91.49,22.29,31,114
42,Eastbound,Early AM,E03,9108,[05:36] 7068606,WEEKDAY,19,19,00:37:44,30.2,6.57,10.44,2.89,52.79,15.53,34,114
42,Eastbound,Early AM,E01,9103,[05:44] 7068565,WEEKDAY,33,33,00:46:17,42.77,8.03,10.4,4.11,99.15,24.5,32,114
42,Eastbound,Early AM,E03,9109,[05:59] 7068566,WEEKDAY,26,26,00:41:56,37.19,6.72,9.61,3.87,59.96,18.71,28,114
42,Eastbound,AM Peak,E01,9110,[06:01] 7068511,WEEKDAY,34,34,00:46:56,43.46,8,10.22,4.25,103.5,24.95,21,114
42,Eastbound,AM Peak,E01,9112,[06:14] 7068509,WEEKDAY,32,32,00:49:21,38.9,8.02,9.75,3.99,103.47,24.06,35,114
42,Eastbound,AM Peak,E03,9104,[06:15] 7068510,WEEKDAY,26,26,00:39:27,39.54,6.74,10.25,3.86,69.22,21.48,31,114
42,Eastbound,AM Peak,E01,9101,[06:26] 7068507,WEEKDAY,37,37,00:52:00,42.68,8.03,9.26,4.61,100.14,26.89,55,114
42,Eastbound,AM Peak,E03,9115,[06:26] 7068508,WEEKDAY,23,23,00:40:48,33.82,6.75,9.93,3.41,61.2,17.93,55,114
42,Eastbound,AM Peak,E01,9117,[06:37] 7068505,WEEKDAY,33,33,00:53:17,37.15,8.01,9.01,4.12,98.09,22.8,41,114
42,Eastbound,AM Peak,E03,9119,[06:37] 7068506,WEEKDAY,31,31,00:43:21,42.91,6.72,9.31,4.61,82.8,23.78,36,114
42,Eastbound,AM Peak,E01,9121,[06:48] 7068502,WEEKDAY,44,44,00:52:04,50.69,8.01,9.23,5.49,120.48,27.8,35,114
42,Eastbound,AM Peak,E03,9102,[06:49] 7068503,WEEKDAY,27,27,00:44:49,36.15,6.72,9,4.02,70.31,18.21,68,114
42,Eastbound,AM Peak,E03,9125,[07:00] 7068500,WEEKDAY,43,43,00:49:08,52.5,6.71,8.2,6.4,102.56,26.6,30,114
42,Eastbound,AM Peak,E01,9123,[07:00] 7068504,WEEKDAY,62,62,00:55:47,66.67,8.04,8.65,7.71,154.73,35.04,46,114
