Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
,,,,,,,1608,1608,0:26:12,68.15,3.02,6.83,10.37,1394.07,19.35,6358,8250
,,,,,,,1608,1608,0:26:12,68.15,3.02,6.83,10.37,1394.07,19.35,6358,8250
LUCY GO,Northbound,AM Peak,LOOP,8502,[06:12] 7095587,WEEKDAY,23,23,0:28:23,48.61,4.05,8.55,5.68,18.29,21.35,96,125
LUCY GO,Northbound,AM Peak,30-38,8503,[06:30] 7095608,WEEKDAY,36,36,0:14:50,145.51,1.69,6.81,21.36,29.57,32.42,109,125
LUCY GO,Northbound,AM Peak,LOOP,8504,[06:42] 7095614,WEEKDAY,36,36,0:32:09,67.18,4.02,7.49,8.97,28.8,31.14,77,125
LUCY GO,Northbound,AM Peak,30-38,8502,[06:51] 7095609,WEEKDAY,35,35,0:15:20,136.83,1.68,6.58,20.81,28.17,30.2,101,125
LUCY GO,Northbound,AM Peak,30-38,8506,[06:56] 7095580,WEEKDAY,23,23,0:13:20,103.45,1.68,7.54,13.73,17.04,20.77,124,125
LUCY GO,Northbound,AM Peak,LOOP,8508,[07:01] 7095616,WEEKDAY,25,25,0:34:09,43.9,3.99,7,6.27,20.68,21.37,114,125
LUCY GO,Northbound,AM Peak,30-38,8509,[07:06] 7095625,WEEKDAY,21,21,0:13:36,92.62,1.65,7.29,12.7,16.57,18.92,52,125
LUCY GO,Northbound,AM Peak,LOOP,8510,[07:10] 7095578,WEEKDAY,32,32,0:31:13,61.49,3.92,7.53,8.16,27.85,26.8,122,125
LUCY GO,Northbound,AM Peak,34-38,8505,[07:13] 7095571,WEEKDAY,15,15,0:09:40,93.04,1.17,7.24,12.85,7.22,14.01,106,125
LUCY GO,Northbound,AM Peak,30-38,8511,[07:16] 7095617,WEEKDAY,38,38,0:14:55,152.8,1.68,6.77,22.57,28.52,31.27,111,125
LUCY GO,Northbound,AM Peak,30-38,8504,[07:21] 7095626,WEEKDAY,38,38,0:15:25,147.8,1.69,6.56,22.54,28.63,32.33,78,125
LUCY GO,Northbound,AM Peak,LOOP,8502,[07:24] 7095618,WEEKDAY,31,31,0:34:56,53.22,4,6.86,7.76,25.81,25.21,102,125
LUCY GO,Northbound,AM Peak,30-38,8506,[07:30] 7095574,WEEKDAY,29,29,0:15:11,114.55,1.67,6.59,17.37,22.29,26.02,132,125
LUCY GO,Northbound,AM Peak,LOOP,8509,[07:36] 7095615,WEEKDAY,40,40,0:33:41,71.23,4.01,7.14,9.97,39.38,32.84,45,125
LUCY GO,Northbound,AM Peak,34-38,8505,[07:39] 7095567,WEEKDAY,19,19,0:10:42,106.39,1.17,6.54,16.28,9.72,18.36,101,125
LUCY GO,Northbound,AM Peak,30-38,8507,[07:42] 7095565,WEEKDAY,42,42,0:15:54,158.33,1.68,6.35,24.95,32.66,35.04,114,125
LUCY GO,Northbound,AM Peak,LOOP,8510,[07:48] 7095619,WEEKDAY,43,43,0:35:27,72.75,3.96,6.71,10.85,38.74,34.69,124,125
LUCY GO,Northbound,AM Peak,34-38,8503,[07:51] 7095576,WEEKDAY,22,22,0:11:37,113.57,1.17,6.04,18.79,10.78,20.07,109,125
LUCY GO,Northbound,AM Peak,30-38,8511,[07:54] 7095627,WEEKDAY,41,41,0:16:38,147.86,1.68,6.06,24.38,34.33,35.21,109,125
LUCY GO,Northbound,AM Peak,LOOP,8506,[08:00] 7095620,WEEKDAY,31,31,0:37:26,49.67,3.86,6.18,8.04,27.26,25.13,124,125
LUCY GO,Northbound,AM Peak,34-38,8501,[08:03] 7095568,WEEKDAY,22,22,0:10:46,122.54,1.17,6.53,18.77,11.49,21.01,122,125
