Route,NOV19,DEC19,JAN20,FEB20,MAR20
1,0.669942287,0.714821061,0.743240688,0.740560072,0.713886147
1,0.669775749,0.68976669,0.761484499,0.753610875,0.776470588
2,0.719811669,0.753749601,0.772859765,0.779215179,0.716922006
2,0.749909975,0.762204383,0.775418492,0.778282501,0.724053834
3,0.769983755,0.781564597,0.800172922,0.78596848,0.761212017
4,0.695482498,0.7,0.72283237,0.726408299,0.748830285
4,0.717461168,0.720875815,0.736228127,0.764354165,0.729623934
5,0.8004662,0.819974203,0.751746373,0.776635834,0.763129379
6,0.935747531,0.935710352,0.947683535,0.947265897,0.94976239
7,0.735739427,0.723016905,0.746365849,0.750533191,0.745024876
8,0.868998282,0.888120524,0.912597656,0.888182416,0.866495507
9,0.681181149,0.688160596,0.728293596,0.733343371,0.721011854
10,0.688208903,0.730225564,0.748493976,0.756816399,0.736908449
11,0.775545852,0.755745704,0.765637693,0.737194178,0.71923579
12,0.811160804,0.816548109,0.830692308,0.85171131,0.809048849
13,0.788007035,0.814812359,0.820520906,0.803580944,0.813871511
14,0.803142732,0.789921089,0.815533648,0.811992589,0.818785647
15,0.680176781,0.750932008,0.751616316,0.660489863,0.675169782
16,0.727363617,0.725867474,0.72821819,0.744412731,0.733882204
17,0.809902703,0,0.80863317,0.830481706,0.774312917
18,0.796637049,0.812044391,0.815434707,0.829983161,0.785900727
19,0.847774781,0.842360707,0.821934197,0.860889396,0.819723618
19,0.906058543,0.926035503,0.932653061,0.920873124,0.881450488
20,0.855936463,0.862325946,0.867970468,0.87185129,0.860095694
21,0.713515411,0.736395238,0.746664549,0.766130546,0.692072549
22,0.782355621,0.766861893,0.781305547,0.790703305,0.810774842
23,0.743534684,0.739372338,0.759188106,0.7625187,0.744076556
23,0,0.771126033,0,0,0
24,0.840012723,0.831051316,0.826550868,0.84375,0.845219124
25,0.745545603,0.715443468,0.766465072,0.782260278,0.76397677
26,0.778338599,0.786932763,0.799438668,0.788631634,0.768424275
27,0.700993912,0.693637078,0.755335216,0.761371713,0.732464667
28,0.834533013,0.832809622,0.828788556,0.841312423,0.824922289
29,0.877402081,0.837707641,0.885270979,0.872818499,0.833030688
30,0.697310819,0.781986428,0.831353919,0.826749735,0.813437313
31,0.770332937,0.751584101,0.772309108,0.76260305,0.75242265
32,0.721343127,0.704146853,0.776012788,0.784078307,0.748869308
33,0.815909729,0.803230631,0.795758309,0.816277494,0.778495207
34,0.779477948,0.798566183,0.811899483,0.802511586,0.842322663
35,0.640031032,0.746630728,0.680887372,0.648484848,0.80532122
36,0.760932418,0.77429533,0.77110537,0.764657886,0.77089593
37,0.791786806,0.795041322,0.821006677,0.822513431,0.809596853
38,0.73129113,0.706589674,0.741090294,0.750312978,0.755072695
39,0.796810899,0.825741278,0.845362701,0.82880629,0.794029851
40,0.702778209,0.712405235,0.742972205,0.75583806,0.725065846
42,0.687289683,0.682544355,0.720709133,0.725946093,0.718322085
43,0.689345701,0.7571261,0.749410158,0.736111111,0.768251934
44,0.653884667,0.630018658,0.725858671,0.719060644,0.692726407
45,0.835984191,0.840629755,0.859871515,0.851900238,0.869547839
46,0.923896499,0.949494949,0.949532881,0.948394703,0.925890279
47,0.680754815,0.691463611,0.712178984,0.709639889,0.724136444
47,0.684245259,0.682260642,0.720609552,0.727262511,0.702440775
48,0.800652589,0.79350365,0.778328941,0.776921316,0.779327184
50,0.843490804,0.835062349,0.843173633,0.855692308,0.850389864
52,0.808261228,0.80693562,0.810460296,0.816879309,0.79633084
53,0.864727791,0.866264106,0.877768273,0.872359155,0.863221173
54,0.8254497,0.826334107,0.817729084,0.81540931,0.790456639
55,0.791045448,0.774020775,0.803952102,0.82534283,0.774618616
