DAY,ROUTE,DIRECTION,TRIP_DEPART_TIME,SOL,EOL,BLOCK,RIDERS,TRIP_RUNTIME_min,SCH_TRIP_RUNTIME_min,VEL_mph,LOAD_FACTOR,OVER_100pct_LOAD_DURATION_min,OVER_120pct_LOAD_DURATION_min,DOOR_CYCLES_DURING_TRIP,PASS_PER_HOUR,PASS_MILE,MAXLOAD_MIN,MAXLOAD_MAX,MAXLOAD_MEDIAN,MAXLOAD_AVG,SAMPLES
WKD,18,E,0422,CHELTEAS,FOXCHASE,"3,003",40,48.5,46.0,12.8,0.155,0.00,0.00,40,49.9,106.3,16,38,26.0,25.9,72
WKD,18,E,0439,CHELTEAS,FOXCHASE,"3,004",26,46.3,47.0,12.7,0.087,0.00,0.00,30,33.3,58.8,9,29,15.0,15.4,74
WKD,18,E,0449,CHELTEAS,FOXCHASE,"3,005",29,49.1,47.0,12.3,0.096,0.00,0.00,32,35.4,66.0,6,26,15.0,14.4,70
WKD,18,E,0457,CEDARBRO,FOXCHASE,"3,002",33,55.3,49.0,11.3,0.098,0.00,0.00,33,35.5,77.3,9,27,16.5,16.9,26
WKD,18,E,0507,CHELTEAS,FOXCHASE,"3,006",24,47.9,47.0,12.5,0.087,0.00,0.00,28,30.2,59.4,6,27,13.0,14.6,69
WKD,18,E,0515,CHELTEAS,FOXCHASE,"3,007",31,46.5,47.0,12.9,0.109,0.00,0.00,31,40.2,75.2,6,26,16.0,16.1,67
WKD,18,E,0523,CHELTEAS,FOXCHASE,"3,009",35,48.0,47.0,12.9,0.118,0.00,0.00,33,43.6,83.4,10,43,18.0,18.8,59
WKD,18,E,0529,CEDARBRO,FOXCHASE,"3,010",37,50.9,49.0,12.4,0.140,0.00,0.00,38,43.3,101.8,9,37,16.5,18.8,52
WKD,18,E,0539,CHELTEAS,FOXCHASE,"3,011",41,49.3,48.0,12.6,0.145,0.00,0.00,39,50.4,101.8,9,44,24.5,24.5,74
WKD,18,E,0546,CHELTEAS,FOXCHASE,"3,012",31,49.3,49.0,12.1,0.113,0.74,0.00,32,38.6,77.3,6,91,15.5,16.8,74
WKD,18,E,0553,CHELTEAS,FOXCHASE,"3,013",56,52.6,50.0,12.1,0.212,0.00,0.00,46,64.1,152.5,12,54,30.5,31.9,64
WKD,18,E,0558,CHELTEAS,FOXCHASE,"3,015",33,54.5,52.0,10.9,0.111,0.00,0.00,33,35.5,77.8,3,49,14.5,16.3,60
WKD,18,E,0601,CEDARBRO,FOXCHASE,"3,014",59,58.0,56.0,11.1,0.193,0.00,0.00,46,60.3,141.5,10,47,28.5,28.2,82
WKD,18,E,0612,CEDARBRO,FOXCHASE,"3,016",66,60.4,58.0,10.7,0.236,0.06,0.00,49,65.2,175.0,5,67,34.0,33.0,85
WKD,18,E,0619,CHELTEAS,FOXCHASE,"3,017",38,58.9,56.0,10.6,0.129,0.00,0.00,38,39.0,93.1,9,40,20.0,20.4,52
WKD,18,E,0627,CEDARBRO,FOXCHASE,"3,008",85,63.8,59.0,10.0,0.259,0.28,0.00,52,80.3,191.9,12,70,41.5,41.9,76
WKD,18,E,0630,CHELTEAS,FOXCHASE,"3,019",67,53.1,51.0,11.0,0.277,0.28,0.00,42,75.4,182.6,13,69,41.0,40.5,67
WKD,18,E,0633,CEDARBRO,FOXCHASE,"3,020",69,63.9,63.0,10.0,0.220,0.09,0.00,48,65.1,157.0,14,68,36.0,37.7,78
WKD,18,E,0640,CHELTEAS,FOXCHASE,"3,022",61,51.8,51.0,11.2,0.238,0.00,0.00,41,70.2,154.7,14,56,33.0,34.5,68
WKD,18,E,0641,CEDARBRO,FOXCHASE,"3,021",78,64.9,64.0,9.8,0.234,0.10,0.00,49,72.0,165.5,20,66,45.0,44.6,68
WKD,18,E,0649,CEDARBRO,FOXCHASE,"3,003",80,71.1,64.0,9.2,0.251,0.46,0.00,52,67.7,184.8,29,74,49.0,49.0,69
WKD,18,E,0649,CHELTEAS,FOXCHASE,"3,023",58,53.7,52.0,10.7,0.230,0.00,0.00,40,64.7,147.6,15,60,33.0,33.6,67
WKD,18,E,0656,CEDARBRO,FOXCHASE,"3,004",71,76.5,65.0,8.6,0.198,0.42,0.00,49,56.2,152.2,12,78,44.0,43.1,69
WKD,18,E,0657,CHELTEAS,FOXCHASE,"3,025",72,56.8,52.0,10.3,0.281,0.00,0.00,42,76.5,181.6,14,61,42.0,41.7,69
WKD,18,E,0705,CEDARBRO,FOXCHASE,"3,005",76,69.7,66.0,9.5,0.228,0.00,0.00,53,65.8,160.2,12,61,43.0,43.0,73
WKD,18,E,0705,CHELTEAS,FOXCHASE,"3,026",62,56.2,52.0,10.3,0.268,0.19,0.00,40,67.2,166.4,10,61,39.0,38.8,70
WKD,18,E,0713,CHELTEAS,RISINSUN,"3,006",59,54.9,49.0,10.3,0.211,0.00,0.00,38,66.7,123.7,3,57,30.0,29.7,62
WKD,18,E,0715,CEDARBRO,FOXCHASE,"3,002",85,68.9,66.0,9.3,0.247,0.39,0.00,54,73.2,171.9,9,72,43.0,42.5,70
WKD,18,E,0723,CHELTEAS,OLBR,"3,009",41,29.8,25.0,9.3,0.338,0.00,0.00,22,81.8,102.6,10,55,33.0,32.5,60
WKD,18,E,0726,CEDARBRO,FOXCHASE,"3,007",91,70.1,65.0,9.3,0.294,0.15,0.00,58,78.0,203.7,7,69,46.0,44.5,67
WKD,18,E,0733,CHELTEAS,OLBR,"3,514",37,28.4,25.0,9.3,0.340,0.00,0.00,22,79.1,97.2,17,53,30.0,30.4,68
WKD,18,E,0738,CEDARBRO,FOXCHASE,"3,010",92,70.8,65.0,9.2,0.275,0.46,0.00,59,78.0,201.1,9,72,41.0,42.3,61
WKD,18,E,0744,CHELTEAS,OLBR,"3,018",27,29.2,25.0,9.2,0.224,0.00,0.00,21,54.6,66.4,6,37,21.0,21.8,23
