Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
,,,,,,,16283,16283,1:04:55,57.6,10.08,9.71,6.34,40185.91,29.29,4248,29716
,,,,,,,8286,8286,0:59:20,63.24,9.71,10.17,6.64,21293.68,30.18,2060,14860
23,Northbound,Early AM,N2,3151,[03:20] 7062822,WEEKDAY,6,6,0:22:45,15.82,5.79,15.26,1.04,12.92,5.06,36,114
23,Northbound,Early AM,N2,3151,[03:20] 7063214,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N2,3152,[04:00] 7062823,WEEKDAY,9,9,0:23:10,23.31,6.19,16.04,1.45,24.53,8.06,32,114
23,Northbound,Early AM,N2,3152,[04:00] 7063213,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N2,3151,[04:40] 7062824,WEEKDAY,12,12,0:24:09,29.8,6.18,15.34,1.94,25.4,7.85,33,114
23,Northbound,Early AM,N2,3151,[04:40] 7063212,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N2,3158,[05:10] 7062825,WEEKDAY,18,18,0:25:11,42.88,6.22,14.81,2.89,49.34,13.44,16,114
23,Northbound,Early AM,N2,3155,[05:11] 7063210,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N2,3160,[05:23] 7062866,WEEKDAY,17,17,0:25:01,40.77,6.22,14.91,2.73,45.62,12.14,14,114
23,Northbound,Early AM,N23,3153,[05:27] 7062904,WEEKDAY,43,43,0:46:21,55.66,9.97,12.91,4.31,153.6,22.94,17,114
23,Northbound,Early AM,N2,3163,[05:36] 7062867,WEEKDAY,17,17,0:25:39,39.75,6.21,14.52,2.74,37.11,10.5,14,114
23,Northbound,Early AM,N23,3152,[05:37] 7062802,WEEKDAY,27,27,0:44:36,36.31,10,13.45,2.7,93.93,16.66,32,114
23,Northbound,Early AM,N23,3152,[05:40] 7063196,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N2,3156,[05:41] 7063209,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N23,3154,[05:47] 7062803,WEEKDAY,37,37,0:49:31,44.82,9.92,12.01,3.73,93.32,19.08,12,114
23,Northbound,Early AM,N23,3153,[05:55] 7063197,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,Early AM,N23,3155,[05:56] 7062868,WEEKDAY,48,48,0:48:54,58.89,9.98,12.25,4.81,127.55,25.13,16,114
23,Northbound,AM Peak,N23,3156,[06:04] 7062869,WEEKDAY,48,48,0:50:17,57.26,9.98,11.91,4.81,146.21,29.28,18,114
23,Northbound,AM Peak,N23,3165,[06:12] 7062870,WEEKDAY,39,39,0:50:46,46.08,9.99,11.8,3.9,104.17,22.07,14,114
23,Northbound,AM Peak,N23,3154,[06:16] 7063173,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,AM Peak,N23,3157,[06:20] 7062906,WEEKDAY,51,51,0:52:50,57.9,9.71,11.02,5.25,143.36,28.2,15,114
23,Northbound,AM Peak,N23,3159,[06:28] 7062907,WEEKDAY,56,56,0:53:08,63.23,9.98,11.27,5.61,162.53,30.13,15,114
23,Northbound,AM Peak,N23,3151,[06:35] 7062908,WEEKDAY,63,63,0:54:50,68.93,9.96,10.9,6.33,163.64,31.5,38,114
23,Northbound,AM Peak,N23,3151,[06:36] 7063172,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,AM Peak,N23,3161,[06:43] 7062909,WEEKDAY,84,84,0:57:56,86.99,9.84,10.19,8.54,192.14,36.29,17,114
23,Northbound,AM Peak,N23,3162,[06:50] 7062910,WEEKDAY,59,59,0:54:56,64.44,9.94,10.85,5.94,143.61,28.94,17,114
23,Northbound,AM Peak,N23,3155,[06:56] 7063171,SUNDAY,0,0,,0,0,0,0,0,0,0,4
23,Northbound,AM Peak,N23,3158,[06:57] 7062818,WEEKDAY,91,91,1:00:45,89.87,9.96,9.84,9.13,200.82,38.81,16,114
23,Northbound,AM Peak,N23,3164,[07:05] 7062826,WEEKDAY,111,111,1:01:25,108.42,9.94,9.71,11.17,267.36,49.8,15,114
